Date,Open,High,Low,Close,Adj Close,Volume
1972-01-13,17.062500,17.062500,16.950001,17.049999,4.706126,897600
1972-01-14,17.125000,17.500000,17.125000,17.500000,4.830329,1409600
1972-01-17,17.500000,17.537500,17.350000,17.475000,4.823434,929600
1972-01-18,17.475000,17.674999,17.475000,17.475000,4.823434,676800
1972-01-19,17.475000,17.762501,17.462500,17.662500,4.875183,611200
1972-01-20,18.000000,18.250000,18.000000,18.174999,5.016645,2236800
1972-01-21,18.174999,18.500000,18.162500,18.412500,5.082201,2360000
1972-01-24,18.299999,18.299999,18.025000,18.025000,4.975240,752000
1972-01-25,18.025000,18.500000,17.850000,18.299999,5.051150,1363200
1972-01-26,18.299999,18.500000,18.212500,18.437500,5.089099,849600
1972-01-27,18.437500,18.462500,18.350000,18.412500,5.082201,476800
1972-01-28,18.412500,18.600000,18.375000,18.412500,5.082201,1212800
1972-01-31,18.412500,18.493750,18.337500,18.400000,5.078752,552000
1972-02-01,18.400000,18.450001,18.250000,18.450001,5.092552,404800
1972-02-02,18.450001,18.743750,18.424999,18.674999,5.154655,764800
1972-02-03,18.674999,18.750000,18.512501,18.662500,5.169889,945600
1972-02-04,18.612499,18.612499,18.462500,18.487499,5.121412,440000
1972-02-07,18.487499,18.549999,18.375000,18.424999,5.104099,472000
1972-02-08,18.450001,18.612499,18.450001,18.612499,5.156042,368000
1972-02-09,18.612499,18.750000,18.600000,18.687500,5.176816,692800
1972-02-10,18.687500,18.737499,18.525000,18.600000,5.152575,440000
1972-02-11,18.600000,18.737499,18.525000,18.687500,5.176816,404800
1972-02-14,18.637501,18.637501,18.412500,18.450001,5.111027,584000
1972-02-15,18.450001,18.512501,18.387501,18.487499,5.121412,323200
1972-02-16,18.487499,18.500000,18.450001,18.468750,5.116221,400000
1972-02-17,18.468750,18.600000,18.325001,18.387501,5.093711,537600
1972-02-18,18.387501,18.437500,18.225000,18.437500,5.107563,384000
1972-02-22,18.437500,18.674999,18.424999,18.424999,5.104099,504000
1972-02-23,18.424999,18.587500,18.400000,18.450001,5.111027,360000
1972-02-24,18.450001,18.549999,18.237499,18.237499,5.052158,497600
1972-02-25,18.275000,18.650000,18.275000,18.625000,5.159503,515200
1972-02-28,18.587500,18.587500,18.250000,18.350000,5.083322,371200
1972-02-29,18.350000,18.537500,18.299999,18.424999,5.104099,584000
1972-03-01,18.475000,18.687500,18.475000,18.625000,5.159503,489600
1972-03-02,18.712500,19.025000,18.712500,18.812500,5.211445,1496000
1972-03-03,18.812500,18.937500,18.725000,18.875000,5.228760,448000
1972-03-06,18.875000,19.087500,18.825001,19.000000,5.263386,680000
1972-03-07,19.000000,19.187500,18.975000,19.187500,5.315326,667200
1972-03-08,19.187500,19.225000,19.100000,19.100000,5.291087,529600
1972-03-09,19.100000,19.250000,19.012501,19.150000,5.304936,576000
1972-03-10,19.100000,19.100000,18.875000,18.912500,5.239148,416000
1972-03-13,18.887501,18.887501,18.600000,18.662500,5.169889,472000
1972-03-14,18.662500,18.700001,18.575001,18.575001,5.145652,523200
1972-03-15,18.600000,18.725000,18.600000,18.650000,5.166429,444800
1972-03-16,18.650000,18.700001,18.299999,18.650000,5.166429,745600
1972-03-17,18.650000,18.850000,18.562500,18.850000,5.221832,577600
1972-03-20,18.850000,19.049999,18.837500,18.843750,5.220099,593600
1972-03-21,18.843750,18.950001,18.650000,18.825001,5.214906,729600
1972-03-22,18.850000,19.037500,18.850000,18.887501,5.232220,731200
1972-03-23,18.950001,19.125000,18.950001,19.112499,5.294549,577600
1972-03-24,19.112499,19.200001,19.062500,19.137501,5.301479,585600
1972-03-27,19.137501,19.250000,19.049999,19.250000,5.332642,792000
1972-03-28,19.250000,19.299999,19.187500,19.243750,5.330909,672000
1972-03-29,19.181250,19.181250,19.000000,19.000000,5.263386,460800
1972-03-30,19.000000,19.174999,18.937500,19.112499,5.294549,347200
1972-04-03,19.112499,19.387501,19.100000,19.275000,5.339567,649600
1972-04-04,19.275000,19.475000,19.174999,19.450001,5.388047,660800
1972-04-05,19.450001,19.687500,19.450001,19.600000,5.429597,848000
1972-04-06,19.600000,19.674999,19.549999,19.549999,5.415749,528000
1972-04-07,19.549999,19.549999,19.424999,19.462500,5.391507,364800
1972-04-10,19.500000,19.687500,19.500000,19.525000,5.408825,544000
1972-04-11,19.525000,19.674999,19.475000,19.525000,5.408825,369600
1972-04-12,19.587500,19.987499,19.587500,19.875000,5.505778,1436800
1972-04-13,19.875000,19.900000,19.700001,19.712500,5.460765,425600
1972-04-14,19.712500,19.900000,19.687500,19.750000,5.471150,323200
1972-04-17,19.750000,19.750000,19.650000,19.750000,5.471150,552000
1972-04-18,19.762501,19.975000,19.762501,19.787500,5.481537,632000
1972-04-19,19.787500,19.837500,19.525000,19.549999,5.415749,513600
1972-04-20,19.537500,19.537500,19.375000,19.387501,5.370730,577600
1972-04-21,19.387501,19.462500,19.174999,19.250000,5.332642,787200
1972-04-24,19.250000,19.275000,19.162500,19.250000,5.332642,352000
1972-04-25,19.174999,19.174999,19.049999,19.075001,5.284163,395200
1972-04-26,19.075001,19.250000,18.962500,19.000000,5.263386,651200
1972-04-27,19.049999,19.225000,19.049999,19.049999,5.277239,336000
1972-04-28,19.062500,19.350000,19.062500,19.299999,5.346492,347200
1972-05-01,19.299999,19.312500,19.100000,19.125000,5.298011,316800
1972-05-02,19.125000,19.299999,19.000000,19.000000,5.263386,491200
1972-05-03,19.000000,19.187500,18.937500,18.950001,5.249536,496000
1972-05-04,18.950001,19.250000,18.837500,19.225000,5.344756,508800
1972-05-05,19.225000,19.487499,19.137501,19.437500,5.403833,544000
1972-05-08,19.350000,19.350000,19.174999,19.312500,5.369077,475200
1972-05-09,19.287500,19.287500,18.962500,18.962500,5.271776,996800
1972-05-10,18.962500,19.299999,18.950001,19.187500,5.334327,401600
1972-05-11,19.187500,19.325001,19.150000,19.174999,5.330851,587200
1972-05-12,19.174999,19.325001,19.031250,19.100000,5.310002,520000
1972-05-15,19.225000,19.337500,19.225000,19.325001,5.372554,464000
1972-05-16,19.325001,19.350000,19.174999,19.187500,5.334327,385600
1972-05-17,19.187500,19.475000,19.174999,19.475000,5.414255,577600
1972-05-18,19.500000,19.750000,19.500000,19.725000,5.483758,833600
1972-05-19,19.725000,19.900000,19.725000,19.812500,5.508085,563200
1972-05-22,19.924999,20.075001,19.924999,20.049999,5.574115,1099200
1972-05-23,20.049999,20.125000,19.887501,20.100000,5.588012,820800
1972-05-24,20.100000,20.237499,20.025000,20.150000,5.601914,769600
1972-05-25,20.150000,20.200001,20.062500,20.200001,5.615815,660800
1972-05-26,20.200001,20.299999,20.112499,20.200001,5.615815,675200
1972-05-30,20.162500,20.162500,19.725000,19.775000,5.497658,505600
1972-05-31,19.799999,19.950001,19.799999,19.887501,5.528939,603200
1972-06-01,19.950001,20.049999,19.950001,19.950001,5.546310,476800
1972-06-02,19.950001,20.049999,19.881250,19.924999,5.539361,513600
1972-06-05,19.875000,19.875000,19.712500,19.725000,5.483758,356800
1972-06-06,19.725000,19.825001,19.575001,19.650000,5.462910,496000
1972-06-07,19.650000,19.775000,19.562500,19.762501,5.494186,433600
1972-06-08,19.762501,19.850000,19.637501,19.637501,5.459433,460800
1972-06-09,19.637501,19.731251,19.549999,19.549999,5.435108,371200
1972-06-12,19.549999,19.662500,19.375000,19.387501,5.389929,449600
1972-06-13,19.387501,19.650000,19.350000,19.637501,5.459433,484800
1972-06-14,19.750000,19.987499,19.750000,19.987499,5.556735,705600
1972-06-15,19.987499,20.037500,19.812500,19.875000,5.525459,529600
1972-06-16,19.875000,19.975000,19.799999,19.937500,5.542836,300800
1972-06-19,19.937500,19.937500,19.775000,19.825001,5.511564,196800
1972-06-20,19.825001,19.900000,19.762501,19.850000,5.518512,308800
1972-06-21,19.850000,20.037500,19.825001,19.875000,5.525459,483200
1972-06-22,19.799999,19.799999,19.600000,19.787500,5.501134,456000
1972-06-23,19.787500,19.862499,19.737499,19.750000,5.490710,436800
1972-06-26,19.674999,19.674999,19.549999,19.612499,5.452485,432000
1972-06-27,19.612499,19.750000,19.525000,19.612499,5.452485,332800
1972-06-28,19.612499,19.712500,19.531250,19.531250,5.429895,380800
1972-06-29,19.531250,19.600000,19.412500,19.575001,5.442057,449600
1972-06-30,19.600000,19.712500,19.600000,19.600000,5.449008,259200
1972-07-03,19.650000,19.762501,19.650000,19.756250,5.492449,208000
1972-07-05,19.825001,20.087500,19.825001,20.000000,5.560212,556800
1972-07-06,20.150000,20.256250,20.150000,20.187500,5.612337,747200
1972-07-07,20.187500,20.275000,20.174999,20.200001,5.615815,489600
1972-07-10,20.200001,20.200001,19.950001,19.950001,5.546310,443200
1972-07-11,19.950001,19.975000,19.825001,19.850000,5.518512,305600
1972-07-12,19.850000,19.937500,19.762501,19.787500,5.501134,432000
1972-07-13,19.787500,19.850000,19.587500,19.587500,5.445529,571200
1972-07-14,19.587500,20.049999,19.575001,19.662500,5.466382,739200
1972-07-17,19.662500,19.787500,19.375000,19.400000,5.393404,515200
1972-07-18,19.400000,19.437500,19.174999,19.424999,5.400354,897600
1972-07-19,19.500000,19.700001,19.500000,19.500000,5.421206,768000
1972-07-20,19.500000,19.575001,19.475000,19.537500,5.431632,464000
1972-07-21,19.537500,19.825001,19.462500,19.825001,5.511564,500800
1972-07-24,19.900000,20.049999,19.900000,19.937500,5.542836,760000
1972-07-25,19.937500,20.025000,19.900000,19.900000,5.532410,672000
1972-07-26,19.900000,19.906250,19.650000,19.725000,5.483758,1080000
1972-07-27,19.725000,19.900000,19.725000,19.850000,5.518512,417600
1972-07-28,19.850000,19.987499,19.812500,19.900000,5.532410,388800
1972-07-31,19.912500,20.037500,19.912500,20.037500,5.570640,428800
1972-08-01,20.100000,20.500000,20.100000,20.500000,5.699212,1225600
1972-08-02,20.500000,20.575001,20.424999,20.450001,5.685318,843200
1972-08-03,20.450001,20.825001,20.400000,20.762501,5.791315,1460800
1972-08-04,20.762501,20.850000,20.625000,20.799999,5.801767,648000
1972-08-07,20.799999,21.012501,20.762501,20.887501,5.826180,1000000
1972-08-08,20.887501,20.950001,20.775000,20.912500,5.833148,601600
1972-08-09,20.912500,21.174999,20.900000,21.174999,5.906367,681600
1972-08-10,21.174999,21.250000,21.062500,21.174999,5.906367,908800
1972-08-11,21.174999,21.275000,21.112499,21.275000,5.934262,744000
1972-08-14,21.275000,21.337500,21.237499,21.237499,5.923800,657600
1972-08-15,21.137501,21.137501,20.950001,21.012501,5.861042,680000
1972-08-16,21.012501,21.075001,20.799999,20.799999,5.801767,355200
